game_id,n_players,winner,village_win,n_days,n_suspicion_agents,suspicion_agent_id,suspicion_agent_role,suspicion_agent_survived,suspicion_agent_won,n_susp_agents_survived,n_susp_agents_won,n_village_sus_won,total_votes,correct_wolf_votes,false_accusations,wolf_vote_precision,wolf_vote_recall,false_accusation_rate,total_wolves,wolves_executed,day_first_wolf_executed,rnd_votes,heur_votes,bay_votes,mcts_votes,logic_votes,heur_susp_votes,bay_susp_votes,mcts_susp_votes,rnd_correct_pct,heur_correct_pct,bay_correct_pct,mcts_correct_pct,logic_correct_pct,heur_susp_correct_pct,bay_susp_correct_pct,mcts_susp_correct_pct,mean_sigma_wolves,mean_sigma_nonwolves,sigma_gap,mean_combined_wolves,mean_combined_nonwolves,combined_gap,mean_d1,mean_d2,mean_d3,mean_d4,mean_d5,mean_d1_wolves,mean_d1_nonwolves,mean_d2_wolves,mean_d2_nonwolves,mean_d3_wolves,mean_d3_nonwolves,mean_d4_wolves,mean_d4_nonwolves,mean_d5_wolves,mean_d5_nonwolves
49,8,WOLF,False,2,2,P7,VILLAGER,False,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,10,0,0,0,4,0,0,,0.0,,,,0.25,,,0.4426,0.4917,-0.0491,0.2476,0.3826,-0.135,0.0,0.4625,0.2812,0.0,0.0625,0.0,0.0,0.2,0.62,0.2083,0.325,0.0,0.0,0.1667,0.0
50,8,WOLF,False,2,2,P7,VILLAGER,True,False,2,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,10,0,0,0,4,0,0,,0.1,,,,0.0,,,0.5355,0.505,0.0305,0.4375,0.3121,0.1254,0.125,0.6583,0.4062,0.0,0.0,0.3333,0.0,0.5296,0.7356,0.5417,0.325,0.0,0.0,0.0,0.0
51,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,13,0,0,0,5,0,0,,0.3846,,,,0.4,,,0.4127,0.5148,-0.1021,0.3677,0.4363,-0.0686,0.0625,0.6599,0.4394,0.0,0.0625,0.0,0.1,0.3,0.8759,0.0,0.703,0.0,0.0,0.1667,0.0
52,8,WOLF,False,2,2,P7,VILLAGER,False,False,0,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.4551,0.516,-0.0609,0.2442,0.3991,-0.1549,0.125,0.625,0.3281,0.0,0.0,0.0,0.2,0.3333,0.8,0.3333,0.325,0.0,0.0,0.0,0.0
53,8,WOLF,False,2,2,P7,VILLAGER,True,False,2,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,10,0,0,0,4,0,0,,0.1,,,,0.0,,,0.5014,0.5119,-0.0105,0.2771,0.3998,-0.1227,0.25,0.3813,0.4062,0.0,0.0625,0.3333,0.2,0.1333,0.53,0.5417,0.325,0.0,0.0,0.1667,0.0
54,8,WOLF,False,2,2,P7,VILLAGER,False,False,1,0,0,14,1,13,0.0714,0.5,0.9286,2,0,,0,10,0,0,0,4,0,0,,0.1,,,,0.0,,,0.531,0.5054,0.0256,0.413,0.3204,0.0926,0.125,0.6875,0.4062,0.0,0.0,0.0,0.2,0.7333,0.66,0.6667,0.25,0.0,0.0,0.0,0.0
55,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,1,0,18,7,11,0.3889,0.5,0.6111,2,1,1,0,12,0,0,0,6,0,0,,0.4167,,,,0.3333,,,0.5461,0.5472,-0.0011,0.3947,0.4281,-0.0334,0.125,0.5313,0.7621,0.0,0.0,0.3333,0.0,0.2889,0.6767,0.5233,0.9054,0.0,0.0,0.0,0.0
56,8,WOLF,False,2,2,P7,VILLAGER,False,False,1,0,0,14,0,14,0.0,0.0,1.0,2,0,,0,11,0,0,0,3,0,0,,0.0,,,,0.0,,,0.4307,0.5252,-0.0945,0.1959,0.4344,-0.2385,0.125,0.5833,0.4062,0.0,0.0625,0.0,0.2,0.4222,0.68,0.0,0.65,0.0,0.0,0.1667,0.0
57,8,WOLF,False,3,2,P7,VILLAGER,False,False,0,0,0,18,8,10,0.4444,1.0,0.5556,2,1,1,0,13,0,0,0,5,0,0,,0.4615,,,,0.4,,,0.6099,0.5377,0.0722,0.4344,0.4275,0.0069,0.25,0.5425,0.739,0.0,0.0,0.6667,0.0,0.3,0.6881,0.4904,0.8881,0.0,0.0,0.0,0.0
58,8,WOLF,False,3,2,P7,SEER,False,False,0,0,0,18,9,9,0.5,1.0,0.5,2,1,1,0,12,0,0,0,6,0,0,,0.5833,,,,0.3333,,,0.492,0.524,-0.032,0.5277,0.4358,0.0919,0.0625,0.7206,0.3254,0.0,0.0,0.0,0.1,0.5968,0.7949,0.0,0.5206,0.0,0.0,0.0,0.0
